actors,actor_ids,genders,birthplaces,ages,movies,movie_ID
David Keith,18181,2,"Knoxville, Tennessee, USA",70.0,"['Firestarter', 'Beneath the Blue', 'Ambushed', 'Christian Mingle', 'Awaken', 'All Saints', 'Heritage Falls', 'Madhouse Mecca', 'Wedding at Graceland', 'I’ll Be Watching', 'Walden']","[532710.0, 44951.0, 216541.0, 296456.0, 322922.0, 450806.0, 421675.0, 521706.0, 603447.0, 937765.0, 850839.0]"
David Morse,52,2,"Hamilton, Massachusetts, USA",70.0,"['Drive Angry', 'The Odd Life of Timothy Green', 'World War Z', 'Collaborator', 'McCanick', 'Concussion', 'Horns', 'The Boy', 'Shanghai', 'Mint Julep', 'Yellow', 'Trouble', 'The Gettysburg Address', 'Flowing Water', 'The Virtuoso', 'Cabrini', 'The Timekeepers of Eternity', 'Walking the Mile']","[47327.0, 71864.0, 72190.0, 107753.0, 214140.0, 321741.0, 149509.0, 321258.0, 38407.0, 370571.0, 57163.0, 570480.0, 340374.0, 656032.0, 808023.0, 975056.0, 874167.0, 897465.0]"
David Oyelowo,35013,2,"Oxford, Oxfordshire, England, UK",48.0,"['Rage', 'Rise of the Planet of the Apes', 'The Help', 'Dog Eat Dog', 'The Paperboy', 'Red Tails', 'Jack Reacher', '96 Minutes', 'The Butler', 'Nightingale', 'Default', 'Interstellar', 'A Most Violent Year', 'Captive', 'Queen of Katwe', 'A United Kingdom', 'Gringo', 'Complicit', 'Five Nights in Maine', 'The Cloverfield Paradox', '9 Kisses', 'Star Wars Rebels: Steps Into Shadow', 'Star Wars Rebels: The Siege of Lothal', 'The Best Man', 'Star Wars Rebels: Spark of Rebellion', 'Chaos Walking', 'A Wrinkle in Time', ""Don't Let Go"", 'Peter Rabbit 2: The Runaway', 'The Midnight Sky', 'The Tiger Who Came to Tea', 'Selma', 'The Water Man', 'The Lion Guard: The Rise of Scar', 'Come Away', 'Role Play', 'Jack Reacher: When the Man Comes Around', 'The Book of Clarence', 'The After']","[242310.0, 61791.0, 50014.0, 354979.0, 82390.0, 72431.0, 75780.0, 89326.0, 132363.0, 277662.0, 554137.0, 157336.0, 241239.0, 331190.0, 317557.0, 347026.0, 340022.0, 172008.0, 356901.0, 384521.0, 341747.0, 418363.0, 337755.0, 1094319.0, 287663.0, 412656.0, 407451.0, 539651.0, 522478.0, 614911.0, 644120.0, 273895.0, 346687.0, 738904.0, 527400.0, 848187.0, 1045592.0, 976584.0, 347520.0]"
David Schwimmer,14409,2,"Astoria, Queens, New York City, New York, USA",57.0,"['The Iceman', ""Madagascar 3: Europe's Most Wanted"", 'Madly Madagascar', 'Must See TV: An All Star Tribute to James Burrows', 'The Laundromat', 'Friends: The Reunion', 'Friends 25th: The One with the Anniversary', 'John Carter', ""That's Harassment"", ""David Baddiel: Jews Don't Count"", 'Another Dirty Movie']","[68812.0, 80321.0, 161143.0, 381948.0, 517909.0, 691179.0, 638110.0, 49529.0, 605613.0, 1051679.0, 279214.0]"
David Tennant,20049,2,"Bathgate, West Lothian, Scotland, UK",53.0,"['The Decoy Bride', 'United', 'Polar Bear - Spy on the Ice', 'The Pirates! In an Adventure with Scientists!', 'Royal Shakespeare Company - Richard II', 'Fright Night', 'So You Want To Be A Pirate!', 'Nativity 2: Danger in the Manger!', 'The Five(ish) Doctors Reboot', 'Shakespeare Live! From the RSC', 'Postman Pat: The Movie', 'What We Did on Our Holiday', 'Doctor Who: The Day of the Doctor', 'Mad to Be Normal', 'A Grand Night In: The Story of Aardman', '96 Ways to Say I Love You', 'Wings 3D', ""Inside Einstein's Mind: The Enigma of Space and Time"", 'Earthflight', 'Ferdinand', 'You, Me and Him', 'Bad Samaritan', 'Mary Queen of Scots', 'Doctor Who: The Ultimate Guide', 'The Highway Rat', 'Proclaimers: This Is the Story', 'Doctor Who: Tales Lost in Time', 'Derren Brown: Pushed to the Edge', 'DuckTales: Destination Adventure!', 'How to Train Your Dragon: The Hidden World', 'How to Train Your Dragon', 'Doctor Who: The Ultimate Companion', 'Children In Need 2019: Got It Covered', 'The Muppets Take The O2', 'Good Omens: Lockdown', 'Our Sarah Jane – Elisabeth Sladen Tribute', 'Shrek: Once Upon a Time', ""The Nation's Favourite Beatles Number One"", 'The Real Des: The Dennis Nilsen Story', 'Screening', 'Cinderella: A Comic Relief Pantomime for Christmas', 'The Loud House Movie', 'The Amazing Maurice', 'An Audience with Adele', 'Doctor Who: Farewell to Matt Smith', 'The Big Night In', 'The Ballad of Russell & Julie', 'Catherine Tate: Laughing at the Noughties', 'Doctor Who at the Proms', 'The Itch of the Golden Nit', 'Discovering Hamlet', ""Chip 'n Dale: Rescue Rangers"", 'Spy in the Snow', 'The Paloni Show! Halloween Special!', 'National Theatre Live: Good', 'Beauty and the Beast: A Comic Relief Pantomime for Christmas', 'Doctor Who Live: The Afterparty', 'Doctor Who Explained', ""Mickey Mouse Clubhouse: Mickey's Monster Musical"", 'Comic Relief 2023', 'Talking Doctor Who', 'Doctor Who Children in Need Special 2023', 'Doctor Who: The Bedtime Story', 'Midnight', 'imagine… Russell T Davies: The Doctor and Me', 'Doctor Who: The Power of the Doctor']","[40161.0, 62441.0, 53338.0, 72197.0, 278564.0, 58151.0, 130966.0, 139380.0, 246202.0, 396083.0, 245685.0, 276843.0, 313106.0, 369090.0, 374460.0, 379484.0, 406097.0, 400316.0, 168257.0, 364689.0, 465026.0, 467632.0, 457136.0, 445374.0, 494603.0, 496911.0, 504308.0, 377319.0, 538662.0, 166428.0, 10191.0, 295922.0, 645870.0, 676258.0, 699240.0, 700758.0, 726391.0, 378305.0, 744010.0, 766878.0, 771301.0, 410113.0, 676710.0, 901047.0, 294999.0, 698265.0, 954592.0, 954639.0, 778456.0, 241111.0, 973939.0, 420821.0, 715926.0, 1019105.0, 1060258.0, 918023.0, 959464.0, 294580.0, 395593.0, 1101662.0, 1193137.0, 1204864.0, 1209469.0, 628704.0, 1219056.0, 1223449.0]"
David Thewlis,11207,2,"Blackpool, Lancashire, England, UK",61.0,"['Harry Potter and the Deathly Hallows: Part 1', 'Harry Potter and the Deathly Hallows: Part 2', 'Black Beauty', 'Anonymous', 'Mr. Nice', 'London Boulevard', 'War Horse', 'The Lady', 'RED 2', 'The Zero Theorem', 'The Fifth Estate', 'Road', ""The Organ Grinder's Monkey"", 'Stonehearst Asylum', 'The Theory of Everything', 'Legend', 'Regression', 'An Inspector Calls', 'The Mercy', 'Separate We Come, Separate We Go', 'How to Get a Head in Sculpture', 'Queen & Country', 'Harry Potter: A History Of Magic', 'Justice League', 'Eternal Beauty', 'Beyond Boundaries: The Harvey Weinstein Scandal', 'Guest of Honour', 'Wonder Woman', 'Rare Beasts', 'Black and Blue', 'Anomalisa', 'The Amazing Maurice', ""Zack Snyder's Justice League"", 'Val', ""I'm Thinking of Ending Things"", 'Enola Holmes 2', 'Final Cut: Ladies and Gentlemen']","[12444.0, 12445.0, 526702.0, 61891.0, 46934.0, 48838.0, 57212.0, 77878.0, 146216.0, 157834.0, 162903.0, 276137.0, 284747.0, 207933.0, 266856.0, 276907.0, 241257.0, 359305.0, 414001.0, 434373.0, 458197.0, 266084.0, 482408.0, 141052.0, 501953.0, 558912.0, 548170.0, 297762.0, 616827.0, 578189.0, 291270.0, 676710.0, 791373.0, 834027.0, 500840.0, 829280.0, 126314.0]"
Dawn Olivieri,92614,1,"Seminole, Florida, USA",43.0,"['Boy Toy', 'Plush', 'Missionary', 'Supremacy', 'The Last Witch Hunter', 'The Secret of Karma', 'Bright', 'Den of Thieves', 'Traffik', 'Darc', 'To Whom It May Concern', 'A Change of Heart', 'Double Threat', 'American Hustle', 'He Does Not Want Peace']","[77665.0, 215881.0, 207766.0, 277702.0, 274854.0, 422709.0, 400106.0, 449443.0, 473149.0, 521647.0, 594477.0, 511624.0, 981848.0, 168672.0, 860545.0]"
Dean Norris,14329,2,"South Bend, Indiana, USA",61.0,"['Get the Gringo', 'The Counselor', 'The Frozen Ground', 'No Half Measures: Creating the Final Season of Breaking Bad', 'Small Time', 'How Do You Know', 'Men, Women & Children', 'Safe', 'Secret in Their Eyes', 'Remember', 'Total Recall', 'The Book of Henry', 'Death Wish', 'Fist Fight', 'Jailbait', 'Beirut', 'Prom', ""Fool's Paradise"", 'The Hustle', 'Scary Stories to Tell in the Dark', 'Tim and Eric Awesome Show, Great Job! Chrimbus Special']","[80389.0, 109091.0, 199373.0, 239459.0, 249266.0, 42888.0, 243684.0, 72387.0, 290751.0, 302528.0, 64635.0, 382614.0, 395990.0, 345922.0, 253046.0, 399248.0, 51588.0, 553147.0, 449562.0, 417384.0, 308979.0]"
Dean S. Jagger,1635842,2,"Dewsbury, Yorkshire, England, UK",45.0,"[""The Hunter's Prayer"", 'Corbin Nash', 'Scorched Earth', 'The Paddy Lincoln Gang', 'Rim of the World', 'Sync', 'Joan of Arc', 'One Ranger']","[302150.0, 432579.0, 347111.0, 505369.0, 531306.0, 444639.0, 515253.0, 1093994.0]"
Debby Ryan,123846,1,"Huntsville, Alabama, USA",30.0,"['16 Wishes', 'The Suite Life Movie', 'Radio Rebel', 'Secret of the Wings', ""Kristin's Christmas Past"", 'Life of the Party', 'Rip Tide', 'What if...', 'Every Day', 'Cover Versions', 'Grace', 'Horse Girl', 'The Opening Act', 'Night Teeth', 'Spin Me Round', 'Twenty One Pilots: Livestream Experience', 'Shortcomings', 'Fast X', 'Muppets Most Wanted']","[40205.0, 60803.0, 89185.0, 75258.0, 239347.0, 399796.0, 457262.0, 42950.0, 45077.0, 496245.0, 546377.0, 653601.0, 664184.0, 669671.0, 826942.0, 832199.0, 1018754.0, 385687.0, 145220.0]"
Debra Paget,48958,1,"Denver, Colorado, USA",90.0,"['Debra Paget, For Example']",[393621.0]
Debra Winger,26513,1,"Cleveland Heights, Ohio, USA",68.0,"['Black Widow', 'Lola Versus', 'Boychoir', 'Richard Attenborough: A Life in Film', 'The Lovers', 'Kajillionaire', 'How It Ended', ""John Travolta, le miraculé d'Hollywood"", 'With/In Volume 2', 'The Storms of Jeremy Thomas', ""Louis Kahn's Tiger City"", 'With/In Volume 2', 'Ryuichi Sakamoto: Coda']","[497698.0, 100529.0, 286519.0, 329614.0, 79698.0, 541305.0, 780618.0, 761892.0, 838482.0, 844176.0, 637909.0, 838482.0, 473888.0]"
Deepika Padukone,53975,1,"Copenhagen, Denmark",38.0,"['Karthik Calling Karthik', 'Lafangey Parindey', 'Break Ke Baad', 'Khelein Hum Jee Jaan Sey', 'Aarakshan', 'Housefull', 'Desi Boyz', 'Bombay Talkies', 'Yeh Jawaani Hai Deewani', 'Goliyon Ki Raasleela Ram-Leela', 'Kochadaiiyaan', 'Finding Fanny', 'Piku', 'Tamasha', 'Bajirao Mastani', 'Race 2', 'xXx: Return of Xander Cage', 'Chennai Express', 'Padmaavat', 'Dum Maaro Dum', 'Raabta', 'Zero', 'Chhapaak', '83', 'Fighter', 'The Intern', 'Pathaan', 'Gehraiyaan', 'Cirkus', 'Brahmāstra Part One: Shiva', 'Jawan', 'Fighter']","[34764.0, 44613.0, 50099.0, 50777.0, 72152.0, 58051.0, 79990.0, 190940.0, 185008.0, 235984.0, 256968.0, 283201.0, 332835.0, 339274.0, 362045.0, 44749.0, 47971.0, 205022.0, 432527.0, 63006.0, 456562.0, 496076.0, 590404.0, 601337.0, 784651.0, 257211.0, 864692.0, 911645.0, 755045.0, 496331.0, 872906.0, 784651.0]"
Demi Moore,3416,1,"Roswell, New Mexico, USA",61.0,"['Bunraku', 'The Joneses', 'LOL', 'Margin Call', 'Very Good Girls', 'Forsaken', 'Rough Night', 'Love Sonia', 'Blind', 'Corporate Animals', 'I Am Patrick Swayze', 'Songbird', 'Savage X Fenty Show Vol. 2', 'Please Baby Please', 'The Unbearable Weight of Massive Talent', 'Comedy Central Roast of Bruce Willis', 'Wild Oats']","[30618.0, 41479.0, 80271.0, 50839.0, 70706.0, 354110.0, 397422.0, 444000.0, 364733.0, 530076.0, 621284.0, 721625.0, 747876.0, 703285.0, 648579.0, 536056.0, 406992.0]"
Denis Villeneuve,137427,2,"Trois-Rivières, Québec, Canada",56.0,"['Le cri du rhinocéros', 'Trumbull Land', 'Three Kinds of Close Encounters', ""Acoustic Signatures: The Sound Design of 'Arrival'"", ""Nonlinear Thinking: The Editing Process of 'Arrival'"", ""Eternal Recurrence: The Score of 'Arrival'"", ""Xenolinguistics: Understanding 'Arrival'"", 'Hans Zimmer: Hollywood Rebel', 'Dans un cinéma près de chez vous']","[566605.0, 615434.0, 631255.0, 644988.0, 644991.0, 644990.0, 600378.0, 1031907.0, 1231475.0]"
Denise Jelilcha Kapaun,3947368,1,"Udon Thani, Thailand",17.0,['Death Whisperer'],[1134433.0]
Denise Richards,9205,1,"Downers Grove, Illinois, USA",53.0,"['Cougars, Inc.', 'Jolene', ""Madea's Witness Protection"", 'Blue Lagoon: The Awakening', 'Fatal Acquittal', 'Christmas Trade', 'Operation: Neighborhood Watch!', 'A Christmas Reunion', 'American Violence', 'Altitude', 'A Violent Man', 'American Satan', 'The Toybox', 'Destined to Ride', 'Christmas Break-In', 'Adventures of Dally and Spanky', 'Reality Queen!', 'The Secret Lives Of Cheerleaders', 'My Adventures with Santa', '1st Born', ""TimeCrafters: The Treasure of Pirate's Cove"", 'Tomboy', 'Money Plane', 'The Story of Soaps', 'A Life Lived', 'Alpha Code', 'Switched', 'The Prayer Box', 'Killer Cheer Mom', 'Junkyard Dogs', 'Send It!', 'Love Accidentally', 'Wickensburg', 'My Christmas Fiancé', 'The Housekeeper', 'A Christmas Frequency', 'Freeloaders', 'The Line']","[60302.0, 43727.0, 103370.0, 115290.0, 298821.0, 365754.0, 395933.0, 369061.0, 435473.0, 443700.0, 826396.0, 451751.0, 516784.0, 537860.0, 566494.0, 607334.0, 588351.0, 597187.0, 644435.0, 645434.0, 657032.0, 514808.0, 694919.0, 706380.0, 477202.0, 724315.0, 732310.0, 560766.0, 866721.0, 876487.0, 598413.0, 962664.0, 1014024.0, 1032489.0, 1063509.0, 1127942.0, 121147.0, 931107.0]"
Dennis Hopper,2778,2,"Dodge City, Kansas, USA",87.0,"['Boiling Point', 'Leo', 'The Trip', 'Alpha and Omega', 'Americano', 'The Last Ride', 'Memory', 'True Grit', 'Black Widow', 'Tracks', 'Reborn', 'Llyn Foulkes One Man Band', 'Roland Klick: The Heart Is a Hungry Hunter', 'Jay Sebring… Cutting to the Truth', 'The Other Side of the Wind', 'Wanderlust', 'Scene Missing', 'The Last Film Festival', ""'Blue Velvet' Revisited"", 'Beautiful Darling', 'Dennis Hopper: Uneasy Rider', 'Along for the Ride', ""They'll Love Me When I'm Dead"", 'Magician: The Astonishing Life and Work of Orson Welles', 'Blue Velvet: The Lost Footage', ""Corman's World"", 'Hopper/Welles', 'Wim Wenders, Desperado', 'Yo! The Story of ‘Yo! MTV Raps’']","[807196.0, 1075794.0, 63578.0, 12819.0, 103597.0, 75300.0, 818397.0, 44264.0, 497698.0, 203819.0, 554636.0, 201666.0, 168310.0, 399794.0, 299782.0, 50647.0, 374059.0, 412532.0, 413784.0, 226247.0, 418601.0, 778106.0, 538002.0, 298664.0, 680713.0, 56591.0, 728129.0, 724682.0, 324610.0]"
Dennis Mojen,1271591,2,"Hamburg, Germany",31.0,"['Nirgendwo', 'UFO: It Is Here', 'Longing for a Kiss', 'The Poll Diaries', 'EneMe', 'Isenhart: The Hunt Is on for Your Soul', 'Wach', 'Extraklasse', 'Dream Factory', 'Isi & Ossi', 'God, You’re Such a Prick', 'Lassie: A New Adventure', 'Sixty Minutes']","[410123.0, 424222.0, 437933.0, 82708.0, 497234.0, 75712.0, 548878.0, 567735.0, 570292.0, 658760.0, 717637.0, 1088563.0, 1212073.0]"
Dennis Quaid,6065,2,"Houston, Texas, USA",70.0,"['Legion', 'Soul Surfer', 'The Special Relationship', 'The Words', ""What to Expect When You're Expecting"", 'Playing for Keeps', 'Beneath the Darkness', 'Movie 43', 'At Any Price', 'Kin', ""A Dog's Purpose"", 'Truth', 'I Can Only Imagine', 'The Intruder', 'Midway', ""A Dog's Journey"", 'Secrets in the Sky: The Untold Story of Skunk Works', 'Reagan', 'John Bronco', 'Born a Champion', 'The Tiger Rising', 'Blue Miracle', 'American Underdog', 'The Hill', 'On a Wing and a Prayer', 'Pretenders', 'Mr. Nelson on the North Side', 'Strange World', 'Mad Families', 'Miracles on the Plains', 'Grid Down, Power Up', 'The Long Game']","[22894.0, 43959.0, 45371.0, 83686.0, 76494.0, 77875.0, 78461.0, 87818.0, 121789.0, 425505.0, 381289.0, 300693.0, 470878.0, 524247.0, 522162.0, 522518.0, 607847.0, 56761.0, 733906.0, 766931.0, 793269.0, 671295.0, 673309.0, 862557.0, 878375.0, 346666.0, 878098.0, 877269.0, 431071.0, 708001.0, 990522.0, 1079810.0]"
Denzel Washington,5292,2,"Mount Vernon, New York, USA",69.0,"['The Book of Eli', 'Unstoppable', 'Safe House', 'Flight', 'The Equalizer', 'The Equalizer 2', '2 Guns', 'Fences', 'The Magnificent Seven', 'Roman J. Israel, Esq.', 'Chasing Trane', 'The Tragedy of Macbeth', 'The Little Things', 'Chadwick Boseman: A Tribute for a King', 'The Equalizer 3', 'Sidney']","[20504.0, 44048.0, 59961.0, 87502.0, 156022.0, 345887.0, 136400.0, 393457.0, 333484.0, 413362.0, 411012.0, 591538.0, 602269.0, 738005.0, 926393.0, 961722.0]"
Dermot Mulroney,20212,2,"Alexandria, Virginia, USA",60.0,"['Inhale', 'Jolene', 'The Family Tree', 'The Grey', 'Stoker', 'Big Miracle', 'Beyond', 'Struck by Lightning', 'J. Edgar', 'Silent Witness', 'A Glimpse Inside the Mind of Charles Swan III', 'August: Osage County', 'Jobs', 'Trade of Innocents', 'The Rambler', 'Space Warriors', 'Dirty Grandpa', 'Careful What You Wish For', 'Insidious: Chapter 3', 'The D Train', 'Northpole: Open for Christmas', 'The Gettysburg Address', 'Lavender', 'Truth', 'Sacrifice', 'Sleepless', 'The Mountain Between Us', 'I Still See You', 'Abduction', 'The Christmas Train', 'Hard Luck Love Song', 'Monster Challenge', 'SGT. Will Gardner', 'The Courier', 'Umma', 'The Inhabitant', 'The Blazing World', 'Deadly Illusions', 'Along for the Ride', 'Agent Game', 'Montford: The Chickasaw Rancher', 'Gone in the Night', 'Section 8', 'Christmas Is Canceled', 'Lights Out', 'Cats', 'You’re Killing Me', 'Shooting Stars', 'Breakwater', ""The Warrant: Breaker's Law"", 'Ruthless', 'Scream VI', 'Anyone But You', 'The Getback', ""There's Something About Romcoms"", 'The Dirty South']","[12645.0, 43727.0, 73846.0, 75174.0, 86825.0, 78698.0, 87293.0, 87440.0, 88794.0, 102931.0, 124461.0, 152737.0, 115782.0, 135595.0, 159109.0, 188507.0, 291870.0, 317744.0, 280092.0, 308638.0, 339543.0, 340374.0, 340584.0, 300693.0, 416023.0, 324542.0, 290512.0, 448095.0, 59965.0, 474982.0, 536208.0, 550040.0, 572851.0, 611914.0, 751237.0, 772973.0, 776506.0, 802443.0, 778106.0, 872542.0, 471342.0, 874355.0, 893228.0, 899382.0, 931642.0, 513386.0, 975022.0, 970284.0, 1006228.0, 1032134.0, 984249.0, 934433.0, 1072790.0, 1122688.0, 1125624.0, 1133232.0]"
Derya Pınar Ak,2414436,1,"Istanbul, Turkey",20.0,"['Witch Trilogy 13+', 'Snow and the Bear', '3391 Kilometers']","[632499.0, 1008393.0, 1155739.0]"
Desmond Harrington,6365,2,"Savannah, Georgia, USA",47.0,"['The Dark Knight Rises', 'The Neon Demon']","[49026.0, 301365.0]"
Dev Patel,76788,2,"Harrow, Greater London, England, UK",34.0,"['The Last Airbender', 'The Best Exotic Marigold Hotel', 'About Cherry', 'The Road Within', 'Chappie', 'The Second Best Exotic Marigold Hotel', 'Lion', 'The Man Who Knew Infinity', 'Hotel Mumbai', 'The Commuter', 'The Wedding Guest', 'The Personal History of David Copperfield', 'Monkey Man', 'The Green Knight', 'The Wonderful Story of Henry Sugar', 'Poison', 'The Wonderful Story of Henry Sugar and Three More']","[10196.0, 74534.0, 94901.0, 228108.0, 198184.0, 268238.0, 334543.0, 353326.0, 416144.0, 399035.0, 500899.0, 520900.0, 560016.0, 559907.0, 923939.0, 1172676.0, 1259365.0]"
Devon Sawa,50398,2,"Vancouver, British Columbia, Canada",45.0,"['Endure', '388 Arletta Avenue', 'The Guilty', 'The Philly Kid', 'A Resurrection', ""A Warden's Ransom"", 'The Exorcism of Molly Hartley', ""Punk's Dead: SLC Punk 2"", 'Life on the Line', 'The Fanatic', 'Escape Plan: The Extractors', 'Disturbing the Peace', 'Jarhead: Law of Return', 'Who Are You People', 'Disturbing the Peace: A Small Town Standoff', 'Hunter Hunter', 'Black Friday', 'Death Rider in the House of Vampires', 'The Legacy of Chucky', 'Gasoline Alley']","[63273.0, 73943.0, 567748.0, 102222.0, 177552.0, 298291.0, 353345.0, 194188.0, 398289.0, 509853.0, 480042.0, 620924.0, 635744.0, 680366.0, 685230.0, 759902.0, 765869.0, 660727.0, 854535.0, 916821.0]"
Diane Baker,6930,1,"Hollywood, California, USA",86.0,"['Private Screenings: Robert Osborne', 'Hemingway & Gellhorn']","[827276.0, 111839.0]"
Diane Keaton,3092,1,"Los Angeles, California, USA",78.0,"['Father of the Bride', 'Plan B', 'Morning Glory', 'Woody Allen: A Documentary', 'The Big Wedding', 'Darling Companion', 'Finding Dory', 'And So It Goes', '5 Flights Up', 'Love the Coopers', 'Hampstead', 'Book Club', 'Poms', 'Love, Weddings & Other Disasters', 'Father of the Bride Part 3 (ish)', 'Mack & Rita', 'Unforgettable', 'Maybe I Do', 'Book Club: The Next Chapter', ""Arthur's Whisky"", 'AFI Life Achievement Award: 50th Anniversary Special']","[746419.0, 489417.0, 38357.0, 81167.0, 87567.0, 89325.0, 127380.0, 253235.0, 286521.0, 333348.0, 441728.0, 502682.0, 574241.0, 627103.0, 746358.0, 808087.0, 418437.0, 972230.0, 982271.0, 1126475.0, 1224690.0]"
Diane Lane,2882,1,"New York City, New York, USA",59.0,"['Justice League', 'Cinema Verite', 'Wild Bill', 'Secretariat', 'Man of Steel', 'Half the Sky: Turning Oppression Into Opportunity for Women Worldwide', 'Batman v Superman: Dawn of Justice', 'The Virginian', 'Every Secret Thing', ""Riley's First Date?"", 'Mark Felt: The Man Who Brought Down the White House', 'Paris Can Wait', 'Serenity', 'Let Him Go', 'And the Oscar Goes To...', 'James Gandolfini: Tribute to a Friend', ""Zack Snyder's Justice League"", 'Casting By', 'Final Cut: Ladies and Gentlemen']","[141052.0, 64566.0, 86593.0, 39486.0, 49521.0, 134602.0, 209112.0, 249616.0, 258284.0, 355338.0, 390061.0, 375867.0, 452832.0, 596161.0, 253639.0, 245226.0, 791373.0, 127878.0, 126314.0]"
Diane Venora,6200,1,"East Hartford, Connecticut, USA",71.0,"['All Good Things', 'The Wish List', 'star-crossed: the film', 'Clint Eastwood: The Last Legend']","[46503.0, 167012.0, 864783.0, 1039896.0]"
Dianne Doan,1368794,1,"Abbotsford, British Columbia, Canada",33.0,"['Descendants 2', 'Descendants', 'The Game of Love']","[417320.0, 277217.0, 505352.0]"
Dianne Wiest,1902,1,"Kansas City, Missouri, USA ",76.0,"['Rage', 'Rabbit Hole', 'Woody Allen: A Documentary', 'The Odd Life of Timothy Green', 'The Big Year', 'Darling Companion', 'Sisters', 'Five Nights in Maine', 'The Humbling', 'The Mule', 'I Care a Lot', 'Let Them All Talk', ""My Father's Dragon"", 'Always at The Carlyle']","[242310.0, 27585.0, 81167.0, 71864.0, 73937.0, 89325.0, 266294.0, 356901.0, 254023.0, 504172.0, 601666.0, 623856.0, 560052.0, 370756.0]"
Dick Van Dyke,61303,2,"West Plains, Missouri, USA",98.0,"['Cold Turkey', 'Night at the Museum: Secret of the Tomb', 'A Tribute to Laurel & Hardy', 'Trolland', 'Mary Poppins Returns', ""If You're Not In The Obit, Eat Breakfast"", 'Gilbert', 'Wait for Your Laugh', 'Alexander and the Terrible, Horrible, No Good, Very Bad Day', 'The Great Buster: A Celebration', 'Mary Poppins Returns: Behind the Magic', 'Buttons', 'Merry Xmas', 'Julie Andrews Forever', ""Sheldon Leonard's Wonderful Life"", 'Disney 100: A Century of Dreams - A Special Edition of 20/20']","[231308.0, 181533.0, 336881.0, 425936.0, 400650.0, 446020.0, 448446.0, 483828.0, 218778.0, 539199.0, 563925.0, 570556.0, 494226.0, 705793.0, 1046506.0, 1221257.0]"
Dina Meyer,2133,1,"Forest Hills, Queens, New York City, New York, USA",55.0,"['Piranha 3D', 'The Boy Next Door', 'Dead in Tombstone', 'Unbelievable!!!!!', 'Text to Kill', 'Clarity', 'Golden Shoes', ""A Dogwalker's Christmas Tale"", ""Fishes 'n Loaves: Heaven Sent"", 'Christmas In Palm Springs', 'AmeriGeddon', 'The Crooked Man', 'The Evil Within', 'Girlfriend Killer', 'Starship Troopers: Traitor of Mars', 'The Unwilling', 'Evil Doctor', 'Line of Duty', 'The Wrong Woman', 'Fortune Cookie', 'A Picture Perfect Holiday', 'Nightshade', 'Detective Knight: Independence']","[43593.0, 241251.0, 151933.0, 329621.0, 335882.0, 358702.0, 362998.0, 365756.0, 412524.0, 358876.0, 395938.0, 418585.0, 444193.0, 466854.0, 460790.0, 507201.0, 517146.0, 346709.0, 249153.0, 461369.0, 879229.0, 922562.0, 1035806.0]"
Djimon Hounsou,938,2,"Cotonou, Dahomey [now Benin]",60.0,"['How to Train Your Dragon 2', 'Elephant White', 'Baggage Claim', 'Guardians of the Galaxy', 'Furious 7', 'Seventh Son', 'King Arthur: Legend of the Sword', 'The Vatican Tapes', 'Air', 'The Legend of Tarzan', 'Same Kind of Different as Me', 'Paws of Fury: The Legend of Hank', 'I Am Heath Ledger', 'Black Panther', 'Serenity', 'Shazam!', 'Aquaman', 'Captain Marvel', ""The King's Man"", 'A Quiet Place Part II', 'Shazam! Fury of the Gods', ""Marvel Studios' 2021 Disney+ Day Special"", 'Rebel Moon - Part One: A Child of Fire', 'Black Adam', 'Gran Turismo', 'The Fate of the Furious']","[82702.0, 57585.0, 175528.0, 118340.0, 168259.0, 68737.0, 274857.0, 157544.0, 964980.0, 258489.0, 300687.0, 366672.0, 450945.0, 86841.0, 452832.0, 287947.0, 297802.0, 299537.0, 476669.0, 520763.0, 594767.0, 877188.0, 848326.0, 436270.0, 980489.0, 337339.0]"
