actors,actor_ids,genders,birthplaces,ages,movies,movie_ID
Adam Beach,33527,2,"Ashern, Manitoba, Canada",51.0,"['Cowboys & Aliens', ""A Warrior's Heart"", 'The Stepson', 'Crook', 'Ice Soldiers', 'Reel Injun', 'Into the Grizzly Maze', 'Joe Dirt 2: Beautiful Loser', 'Suicide Squad', 'September Runs Red', 'A Fighting Man', 'Hostiles', 'Percy', 'Juanita', 'The New Mutants', 'The Unhealer', 'Swan Song', 'The Power of the Dog', 'Exile']","[49849.0, 79699.0, 142099.0, 225945.0, 255692.0, 101520.0, 244316.0, 335970.0, 297761.0, 205718.0, 227325.0, 384680.0, 548755.0, 581475.0, 340102.0, 740903.0, 765245.0, 600583.0, 570358.0]"
Adam Copeland,89888,2,"Orangeville, Ontario, Canada",50.0,"['WWE Night of Champions 2010', 'WWE WrestleMania XXVII', 'Bending The Rules', 'WWE Extreme Rules 2011', 'WWE Hell In A Cell 2010', 'WWE TLC: Tables Ladders & Chairs 2010', 'WWE Survivor Series 2010', 'WWE Elimination Chamber 2011', 'WWE Bragging Rights 2010', 'WWE SummerSlam 2010', 'WWE Fatal 4-Way 2010', 'WWE Royal Rumble 2011', 'WWE Wrestlemania XXVI', 'WWE Royal Rumble 2010', 'You Think You Know Me? The Story of Edge', 'Breaking the Code: Behind the Walls of Chris Jericho', 'WWE Money in the Bank 2010', 'WWE Over the Limit 2010', 'WWE Extreme Rules 2010', 'WWE: Rey Mysterio - The Life of a Masked Man', 'The Ladder Match 2: Crash & Burn', 'Undertaker: The Streak 21-1', 'WWE: Straight to the Top - Money in the Bank Anthology', 'WWE: Attitude Era: Vol. 2', ""WWE: John Cena's Greatest Rivalries"", 'Owen Hart of Gold', 'Straight Outta Dudleyville: The Legacy of the Dudley Boyz', 'The History of The WWE Hardcore Championship', 'WWE: Top 50 Superstars of All Time', 'WWE: Best Pay-Per-View Matches of 2009-2010', 'WWE: Monday Night War Vol. 1: Shots Fired', 'Interrogation', ""WWE: The Undertaker's Deadliest Matches"", 'Ladies and Gentlemen, My Name Is Paul Heyman', 'The Resurrection of Jake The Snake', 'WWE: Shawn Michaels: My Journey', ""WWE: Best of the 2000's"", 'Kurt Angle: The Essential Collection', 'Shawn Michaels - The Showstopper Unreleased', 'WWE Royal Rumble 2020', 'WWE WrestleMania 36: Part 2', 'Edge: The Second Mountain', 'The Top 100 Moments In Raw History', ""WWE: Satan's Prison - The Anthology of the Elimination Chamber"", 'WWE: The Best of SmackDown - 10th Anniversary, 1999-2009', 'Money Plane', 'WWE Backlash 2020', 'Trish & Lita – Best Friends, Better Rivals', 'WWE: Undertaker 20-0 - The Streak', 'The True Story of WrestleMania', 'The Best of WWE: 10 Best Matches of 2020', 'My Way: The Life and Legacy of Pat Patterson', 'WWE Elimination Chamber 2021', 'WWE SummerSlam 2019', 'WWE SummerSlam 2011', 'WWE WrestleMania 37: Night 2', 'The John Cena Experience', 'WWE: The Attitude Era', 'WWE Money in the Bank 2021', 'WWE SummerSlam 2021', 'WWE Royal Rumble 2021', 'WWE Fastlane 2021', 'Never Forget: WWE Returns After 9/11', 'WWE Crown Jewel 2021', 'WWE Day 1 2022', 'WWE Royal Rumble 2022', 'WWE WrestleMania 38 - Sunday', 'WWE WrestleMania Backlash 2022', 'WWE WrestleMania 37: Night 1', 'WWE Hell in a Cell 2022', 'WWE SummerSlam 2022', 'The Firefly Funhouse Match', 'WWE Extreme Rules 2022', 'Biography: Edge', 'WWE Royal Rumble 2023', 'WWE Elimination Chamber 2023', 'The Rock: The Epic Journey of Dwayne Johnson', 'WWE WrestleMania 39 Sunday', 'WWE Royal Rumble 2013', 'Recoil', 'Biography: Mick Foley']","[60147.0, 60979.0, 44032.0, 63205.0, 65825.0, 65828.0, 65827.0, 65826.0, 66119.0, 49401.0, 80174.0, 72670.0, 54728.0, 122965.0, 105368.0, 162031.0, 165639.0, 213198.0, 219205.0, 219616.0, 238514.0, 270284.0, 279468.0, 303392.0, 330307.0, 371695.0, 387945.0, 401078.0, 72939.0, 411652.0, 411718.0, 414719.0, 260338.0, 285592.0, 324181.0, 41459.0, 449413.0, 464542.0, 566480.0, 659444.0, 684417.0, 690597.0, 187776.0, 72148.0, 397008.0, 694919.0, 707520.0, 617236.0, 123448.0, 59430.0, 781803.0, 790190.0, 797478.0, 616054.0, 72284.0, 812178.0, 225874.0, 745428.0, 845297.0, 851083.0, 790249.0, 802958.0, 873236.0, 866144.0, 882670.0, 878933.0, 890897.0, 937775.0, 809727.0, 954577.0, 893546.0, 964780.0, 987495.0, 1048288.0, 1022395.0, 1040296.0, 97180.0, 852606.0, 163503.0, 91333.0, 863039.0]"
Adam Driver,1023139,2,"San Diego, California, USA",40.0,"['Annette', 'Inside Llewyn Davis', 'J. Edgar', 'Frances Ha', 'Not Waving but Drowning', 'Tracks', 'Bluebird', 'What If', 'This Is Where I Leave You', ""While We're Young"", 'Silence', 'The Man Who Killed Don Quixote', 'Hungry Hearts', 'Star Wars: The Force Awakens', ""You Don't Know Jack"", 'Paterson', 'Star Wars: The Last Jedi', 'Star Wars: Greatest Moments', 'Midnight Special', 'Secrets of the Force Awakens: A Cinematic Journey', 'Logan Lucky', ""I'm Coming Over"", 'Gayby', 'The Meyerowitz Stories (New and Selected)', 'BlacKkKlansman', 'Marriage Story', 'The Director and the Jedi', ""The Dead Don't Die"", 'The Report', 'Joseph Pulitzer: Voice of the People', 'The Basement', 'The Last Duel', 'He Dreams of Giants', 'Marriage Story: From the Pages to the Performances', 'The Skywalker Legacy', 'Star Wars: The Rise of Skywalker', 'Sweet Nothings', 'House of Gucci', '65', 'Balance of the Force', ""Martin Scorsese's Journey Into Silence"", 'The Sparks Brothers', 'Ferrari', ""Baby Annette, à l'impossible ils sont tenus"", 'The Force of Sound', 'The Making of the Last Duel']","[424277.0, 86829.0, 88794.0, 121986.0, 192137.0, 203819.0, 173911.0, 212716.0, 239678.0, 252512.0, 68730.0, 297725.0, 283698.0, 140607.0, 36950.0, 370755.0, 181808.0, 378386.0, 245703.0, 388885.0, 399170.0, 419463.0, 458877.0, 396398.0, 487558.0, 492188.0, 510714.0, 535581.0, 524348.0, 585724.0, 591552.0, 617653.0, 644158.0, 668735.0, 680382.0, 181812.0, 729453.0, 644495.0, 700391.0, 513696.0, 794611.0, 776485.0, 365620.0, 869164.0, 507052.0, 1089625.0]"
Adam Goldberg,6163,2,"Santa Monica, California, USA",53.0,"['Frankenstein', 'Norman', 'Sunset Strip', 'Anna Nicole', 'No Way Jose', 'Rebirth', 'Between Us', 'Miss Nobody', 'Once Upon a Time in Venice', 'Mr. Saturday Night', 'Running with the Devil', 'A Monster in Paris', ""'Saving Private Ryan': Boot Camp""]","[337029.0, 50590.0, 200063.0, 204784.0, 343371.0, 369033.0, 390526.0, 51875.0, 345915.0, 890823.0, 523077.0, 77459.0, 1208060.0]"
Adam Sandler,19292,2,"Brooklyn, New York, USA",57.0,"['Zookeeper', 'Grown Ups', 'Just Go with It', 'Jack and Jill', 'Hotel Transylvania', ""That's My Boy"", 'Grown Ups 2', 'Blended', 'Hotel Transylvania 2', 'Pixels', 'Men, Women & Children', 'Top Five', 'The Cobbler', 'I Am Chris Farley', 'The Ridiculous 6', 'The Do-Over', 'The Meyerowitz Stories (New and Selected)', 'Hotel Transylvania 3: Summer Vacation', 'Sandy Wexler', 'Puppy!', 'The Week Of', 'Eddie Murphy: One Night Only', 'Night of Too Many Stars: America Unites for Autism Programs', 'Murder Mystery', 'Uncut Gems', 'Adam Sandler: 100% Fresh', 'The Improv: 50 Years Behind the Brick Wall', 'Hubie Halloween', 'Eat Drink Laugh: The Story of The Comic Strip', 'Goldman v Silverman', 'Money on the Street: The Making of Uncut Gems', 'Feeding America Comedy Festival', 'Hustle', '12-12-12: The Concert for Sandy Relief', 'Spaceman', 'Murder Mystery 2', 'Night of Too Many Stars: An Overbooked Concert for Autism Education', 'Finding Sandler', 'Norm Macdonald: Nothing Special', 'You Are So Not Invited to My Bat Mitzvah', 'Winona Ryder: The Ghosts She Called', 'Adam Sandler: Funny Guy', 'Leo', 'Nature Planet', 'Saturday Night Live: 40th Anniversary Special']","[38317.0, 38365.0, 50546.0, 71880.0, 76492.0, 87428.0, 109418.0, 232672.0, 159824.0, 257344.0, 243684.0, 284296.0, 238215.0, 345944.0, 347969.0, 389053.0, 396398.0, 400155.0, 419700.0, 459159.0, 465109.0, 144645.0, 483808.0, 514999.0, 473033.0, 517596.0, 266782.0, 617505.0, 439972.0, 664394.0, 682184.0, 702942.0, 705861.0, 149922.0, 636706.0, 638974.0, 203133.0, 962481.0, 975088.0, 999644.0, 955001.0, 794539.0, 1075794.0, 1106684.0, 1157462.0]"
Adam Scott,36801,2,"Santa Cruz, California, USA",51.0,"['Leap Year', 'Operation: Endgame', 'Piranha 3D', 'Fight for Your Right Revisited', 'Friends with Kids', 'Lovely, Still', 'Bachelorette', 'See Girl Run', 'The Guilt Trip', 'A.C.O.D.', 'Hot Tub Time Machine 2', 'The Secret Life of Walter Mitty', 'Our Idiot Brother', 'They Came Together', 'The Overnight', 'Black Mass', 'Sleeping with Other People', 'Timms Valley', 'Krampus', 'My Blind Brother', 'The Adult Swim Golf Classic', 'Girl', 'The Terrys', 'Little Evil', 'Flower', 'Fun Mom Dinner', ""Michael Bolton's Big, Sexy Valentine's Day Special"", 'The Most Hated Woman in America', 'The Disaster Artist', 'Between Two Ferns: The Movie', 'Have a Good Trip: Adventures in Psychedelics', 'A Parks and Recreation Special', 'Celebrity Escape Room', 'The Paley Center Salutes Parks and Recreation', 'Madame Web', 'When Harry Met Sally 2 with Billy Crystal and Helen Mirren', 'First Time Female Director']","[25195.0, 41135.0, 43593.0, 62934.0, 80038.0, 51384.0, 84174.0, 97732.0, 82687.0, 115283.0, 243938.0, 116745.0, 59968.0, 180296.0, 308024.0, 261023.0, 288036.0, 360031.0, 287903.0, 381040.0, 392012.0, 717634.0, 186071.0, 346671.0, 421471.0, 432787.0, 430780.0, 401743.0, 371638.0, 584962.0, 673175.0, 696507.0, 707054.0, 739244.0, 634492.0, 296273.0, 999887.0]"
Adam West,26847,2,"Walla Walla, Washington, USA",95.0,"['Pizza Man', 'Starring Adam West', 'Bats of the Round Table', 'Robot Chicken DC Comics Special III: Magische Freundschaft', 'Batman: Return of the Caped Crusaders', 'Batman vs. Two-Face', ""Family Guy Presents: It's a Trap!"", 'Scooby-Doo! and the Beach Beastie', 'Joker: Put on a Happy Face', 'Catwoman: The Feline Femme Fatale', 'Knight Immortal', 'Val', 'Batman & Bill', 'The Batmobile', 'Heroes Manufactured', 'Once Upon a Time... in Hollywood', 'Family Guy Presents: Road to the North Pole']","[188089.0, 237960.0, 363125.0, 363863.0, 411736.0, 464882.0, 278427.0, 340884.0, 734586.0, 829707.0, 779681.0, 834027.0, 456348.0, 125231.0, 445684.0, 466272.0, 659613.0]"
Adeel Akhtar,81840,2,"London, England, UK",43.0,"['Four Lions', 'The Dictator', 'Stranger Things', 'War Book', 'Jadoo', 'The Show', 'Pan', 'Convenience', 'Murdered by My Father', 'Keeping Up with the Joneses', 'The Last Dragonslayer', 'The Big Sick', 'Victoria & Abdul', 'Hampstead', 'Swimming with Men', 'Murder Mystery', 'The Nest', 'Enola Holmes', ""Everybody's Talking About Jamie"", 'The Electrical Life of Louis Wain', 'Ali & Ava', 'Robin Robin', 'Enola Holmes 2', 'Save the Cinema', 'Murder Mystery 2', 'The Puppet Asylum']","[37495.0, 76493.0, 182026.0, 290290.0, 159407.0, 375098.0, 266647.0, 226268.0, 390878.0, 331313.0, 431742.0, 416477.0, 423899.0, 441728.0, 506025.0, 514999.0, 545237.0, 497582.0, 624899.0, 617762.0, 661365.0, 649928.0, 829280.0, 790386.0, 638974.0, 1141826.0]"
Adria Arjona,1371297,1,"San Juan, Puerto Rico",32.0,"['Pacific Rim: Uprising', 'The Belko Experiment', 'Life of the Party', 'Anomalous', 'Triple Frontier', '6 Underground', 'Morbius', 'Sweet Girl', 'Guardians of Life', 'Father of the Bride', 'The Absence of Eden', 'Andor: A Disney+ Day Special Look']","[268896.0, 341006.0, 399796.0, 419315.0, 399361.0, 509967.0, 526896.0, 619297.0, 671892.0, 746419.0, 639857.0, 1022100.0]"
Adrianne Palicki,88995,1,"Toledo, Ohio, USA",40.0,"['Legion', 'Red Dawn', 'Elektra Luxx', 'Baby, Baby, Baby', 'Aquaman', 'John Wick', 'Dr. Cabbie', 'Coffee Town', 'G.I. Joe: Retaliation', 'S.W.A.T.: Under Siege', 'Robot Chicken: Star Wars Episode III', 'With/In Volume 2', 'With/In Volume 2', 'Quasi', 'John Wick: Calling in the Cavalry', ""Don't F*#% With John Wick""]","[22894.0, 60747.0, 56272.0, 365451.0, 297802.0, 245891.0, 266500.0, 198062.0, 72559.0, 461053.0, 51888.0, 838482.0, 838482.0, 893752.0, 600990.0, 600987.0]"
Adriano Giannini,73475,2,"Rome, Lazio, Italy",52.0,"['Senza nessuna pietà', 'The Ice Forest', 'Ambo', 'I Killed Napoleon', 'A Fairy Tale Wedding', 'For Your Love', 'Magic Card', 'A Woman as a Friend', ""St. Peter's and the Papal Basilicas of Rome 3D"", ""Naples '44"", 'Il colore nascosto delle cose', 'They Call Me Jeeg', 'Vivere', 'Three Floors', ""The Italian Jobs - Paramount Pictures e l'Italia"", 'The Ties', 'Manhunt', 'The Legend of Red Hand', 'Adagio']","[286306.0, 298864.0, 308151.0, 332709.0, 264001.0, 352199.0, 374258.0, 257314.0, 396151.0, 419880.0, 468204.0, 364433.0, 571485.0, 608980.0, 508213.0, 659290.0, 819646.0, 941917.0, 1021803.0]"
Adrien Brody,3490,2,"New York City, New York, USA",51.0,"['High School', 'Predators', 'Giallo', 'The Experiment', 'Splice', 'Wrecked', 'Detachment', 'Midnight in Paris', 'The Grand Budapest Hotel', 'Love, Marilyn', 'InAPPropriate Comedy', 'Back to 1942', 'Third Person', 'American Heist', 'Dragon Blade', 'Manhattan Night', 'Backtrack', 'Septembers of Shiraz', 'Boredom', 'The Library Book', 'Bullet Head', ""Fool's Paradise"", 'Air Strike', 'The French Dispatch', 'Blonde', 'And the Oscar Goes To...', 'Predators: The Chosen', 'Manodrome', 'Asteroid City', 'Trintignant by Trintignant', 'Ghosted', 'Clean', 'The Making of The Grand Budapest Hotel']","[27584.0, 34851.0, 29159.0, 43549.0, 37707.0, 50838.0, 74308.0, 59436.0, 120467.0, 121831.0, 156268.0, 139329.0, 192145.0, 250066.0, 300168.0, 311667.0, 332704.0, 352179.0, 384201.0, 366515.0, 480572.0, 553147.0, 345934.0, 542178.0, 301502.0, 253639.0, 704838.0, 843942.0, 747188.0, 869950.0, 868759.0, 689700.0, 1104269.0]"
