actor,community,degree
Andrei Konchalovsky,109,0
Andrew Bachelor,11,10
Andrew Bryniarski,18,1
Andrew Divoff,18,1
Andrew Garfield,48,44
Andrew Lincoln,7,11
Andrew Scott,16,20
Andrew Stanton,0,4
Andrew Stevens,18,1
Andrew W. Walker,15,6
André 3000,110,0
André Dussollier,41,6
Andy García,11,19
Andy Lau,5,17
Andy On,5,14
Andy Samberg,11,79
Andy Serkis,16,40
Aneurin Barnard,16,9
Angela Bassett,7,28
Angela Kovács,111,0
Angela Lansbury,11,2
Angela Lindvall,11,1
Angela Winkler,41,3
AngelaBaby,5,11
Angeli Khang,2,2
Angelina Jolie,11,34
Angie Dickinson,112,0
Angie Everhart,113,0
Angie Harmon,114,0
Angourie Rice,7,21
Angus Cloud,115,0
Angus Macfadyen,8,1
Anika Noni Rose,11,15
Anita Briem,116,0
Anita Ekberg,117,0
Anja Savcic,118,0
Anjelica Huston,0,59
Ann Cusack,119,0
Ann Dowd,22,3
Ann Magnuson,120,0
Ann-Margret,0,1
Anna Camp,11,11
Anna Castillo,121,0
Anna Chancellor,16,4
Anna Chipovskaya,122,1
Anna Chlumsky,123,0
Anna Enger Ritch,11,2
Anna Faris,11,13
Anna Friel,16,2
Anna Gunn,18,2
Anna Hopkins,124,0
Anna Hutchison,8,3
Anna Karina,125,0
Anna Kendrick,11,57
Anna Maria Perez de Tagle,126,0
Anna Maxwell Martin,16,5
Anna Paquin,0,8
Anna Popplewell,127,0
Anna Sawai,128,0
Anna Torv,7,1
Anna Wilson-Jones,129,0
Anna-Maria Sieklucka,130,2
AnnaSophia Robb,4,1
Annabella Sciorra,4,1
Annabelle Wallis,16,13
Annabeth Gish,0,1
Anne Archer,131,0
Anne Consigny,0,1
Anne Dudek,132,1
Anne Hathaway,4,68
Anne Heche,0,8
Anne Parillaud,133,0
Anne Reid,8,2
Anneliese van der Pol,134,0
Annette Badland,135,0
Annette Bening,0,21
Annette O'Toole,15,5
Annie Potts,11,17
Annie Wersching,16,1
Annika Kuhl,136,0
Anouk Aimée,41,2
Ansel Elgort,4,20
Anson Mount,137,0
