actor,community,degree
Daveigh Chase,368,0
David Arquette,8,22
David Bamber,16,2
David Berry,369,0
David Boreanaz,370,0
David Bowe,371,0
David Bradley,16,23
David Castañeda,7,1
David Corenswet,372,0
David Costabile,7,1
David Cronenberg,11,3
David Cross,11,38
David Cubitt,10,2
David Dastmalchian,7,32
David Dorfman,373,0
David Duchovny,20,1
David Eigenberg,11,3
David Giuntoli,374,0
David Gyasi,4,12
David Harbour,0,6
David Hasselhoff,18,7
David Hayman,16,4
David Herman,10,11
David James Lewis,15,19
David Keith,375,0
David Krumholtz,11,14
David Leitch,4,26
David Lynch,0,12
David McCallum,376,0
David Mendenhall,377,0
David Morse,4,4
David O'Hara,16,1
David Oyelowo,4,26
David Prowse,378,0
David Ramsey,379,0
David Rasche,0,1
David Rees Snell,380,0
David Schwimmer,11,11
David Silverman,7,2
David Spade,11,39
David Suchet,381,0
David Tennant,16,36
David Thewlis,16,65
David Threlfall,382,0
David Wenham,0,10
David Zayas,0,12
Dawn Olivieri,383,0
Dax Shepard,11,8
Dayo Wong,5,3
Dayton Callie,18,3
DeRay Davis,11,4
Dean Cain,10,14
Dean Cundey,0,7
Dean Jones,384,0
Dean Norris,11,5
Dean S. Jagger,385,0
Dean Scott Vazquez,386,0
Dean Stockwell,387,0
Dean-Charles Chapman,16,5
Deanna Russo,388,0
Debbie Reynolds,0,4
Debby Ryan,11,4
Debi Mazar,16,1
Debora Caprioglio,389,0
Deborah Ann Woll,4,4
Deborah Kara Unger,390,0
Deborah Van Valkenburgh,391,0
Deborra-Lee Furness,0,1
Debra Jo Rupp,392,0
Debra McGrath,393,0
Debra Messing,4,2
Debra Wilson,11,25
Debra Winger,394,0
Dee Bradley Baker,10,106
Dee Wallace,18,21
Deepika Padukone,3,13
Defne Kayalar,395,0
Delroy Lindo,396,0
Demet Özdemir,397,0
Demi Lovato,11,12
Demi Moore,398,0
Denis Leary,48,26
Denis Villeneuve,0,1
Denise Richards,18,5
Dennis Boutsikaris,399,0
Dennis Farina,400,0
Dennis Haysbert,11,25
Dennis Hopper,0,9
Dennis Mojen,401,0
Dennis Quaid,15,9
Denzel Washington,4,9
Deon Richmond,402,0
Derek Cecil,403,0
Derek Jacobi,16,17
Derek Kolstad,0,5
Derek Riddell,404,0
Dermot Mulroney,10,13
Derya Pınar Ak,405,0
Desmond Harrington,406,0
Detlef Bothe,407,0
Dev Patel,16,9
Devon Aoki,408,0
Devon Bostick,22,10
Devon Gummersall,409,0
Devon Sawa,18,4
Devon Werkheiser,410,0
Dexter Fletcher,4,9
Diana Gómez,411,0
Diana Lee Inosanto,11,3
Diana Muldaur,412,0
Diana Scarwid,413,0
Diane Baker,414,0
Diane Cilento,415,0
Diane Keaton,11,14
Diane Kruger,0,8
Diane Ladd,416,0
Diane Lane,14,54
Diane Morgan,0,5
Diane Neal,417,0
Diane Robin,418,0
Diane Venora,419,0
Dianna Agron,11,10
Dianne Doan,420,0
Dianne Wiest,0,6
Dichen Lachman,421,0
Dick Van Dyke,11,4
Diedrich Bader,10,44
Diego Klattenhoff,422,0
Diego Luna,7,15
Diego Wallraff,423,0
Dimple Kapadia,3,5
Dina Meyer,10,1
Dina Spybey-Waters,424,0
Dion Johnstone,425,0
Diora Baird,426,0
Djimon Hounsou,14,44
Dolph Lundgren,0,51
Domenick Lombardozzi,0,3
Domhnall Gleeson,16,60
Dominic Cooper,7,14
Dominic Sherwood,427,0
Dominic West,16,19
Dominique McElligott,428,0
Dominique Sanda,429,1
Don Cheadle,7,62
Don Gilet,430,0
Don Johnson,11,12
Don McManus,18,1
Don Michael Paul,431,0
Don Novello,18,1
Donal Logue,11,1
Donald Glover,7,29
Donald Sumpter,0,1
Donald Sutherland,8,33
Donald Trump,0,18
Donna Dixon,432,0
Donna Mills,433,0
Donnie Wahlberg,434,0
Donnie Yen,5,25
Dougray Scott,16,3
Dove Cameron,10,14
Drea de Matteo,4,2
Drew Barrymore,0,10
Drew Starkey,435,0
Dua Lipa,0,5
Dulé Hill,18,9
Dustin Hoffman,0,58
Dwayne Johnson,14,73
Dweezil Zappa,436,0
Dwight Schultz,10,6
Dyan Cannon,0,1
Dylan Arnold,22,9
Dylan McDermott,0,2
Dylan Minnette,437,0
Dylan O'Brien,14,14
Dylan Sprouse,324,2
Dylan Walsh,0,1
Dylan Wang,438,0
Déborah Révy,439,0
Eamonn Walker,440,0
Ebon Moss-Bachrach,441,0
Ed Asner,10,17
Ed Begley Jr.,10,5
Ed Harris,48,8
Ed Helms,11,24
Ed O'Neill,11,14
Ed Skrein,14,10
Ed Speleers,16,1
Eddie Cibrian,8,2
Eddie Griffin,442,0
Eddie Izzard,16,18
Eddie Kaye Thomas,18,3
Eddie Marsan,4,52
Eddie Murphy,11,45
Eddie Redmayne,14,20
Eddie Vedder,11,5
Eden Riegel,18,1
Eden Sher,443,0
Edgar Ramírez,16,7
Edgar Wright,0,21
Edi Gathegi,444,0
Edvin Ryding,198,1
Edward Burns,0,1
Edward Fox,7,1
Edward Furlong,0,2
Edward James Olmos,48,10
Edward Norton,0,43
Edwige Fenech,445,0
Eion Bailey,446,0
Eita Nagayama,42,8
Eita Okuno,42,8
Eiza González,14,3
Eka Darville,447,0
Elaine Hendrix,41,3
Elaiza Ikeda,42,6
Eleanor Matsuura,14,19
Eleanor Tomlinson,0,3
Elena Anaya,448,0
Elena Kampouris,18,7
Eli Roth,0,13
Eli Wallach,449,0
Elias Koteas,7,1
Elijah Wood,0,16
Eliot Sumner,450,0
Elisabeth Moss,0,6
Elisabeth Röhm,0,7
Elisabeth Shue,4,2
Elisha Cuthbert,48,1
Eliza Bennett,451,0
Eliza Butterworth,452,0
Eliza Dushku,10,1
Eliza Taylor,453,0
Elizabeth Banks,8,73
Elizabeth Berkley,454,0
Elizabeth Blackmore,455,0
Elizabeth Gillies,11,1
Elizabeth Hurley,11,1
Elizabeth Lail,11,1
Elizabeth McGovern,16,11
Elizabeth Mitchell,456,0
Elizabeth Olsen,7,65
Elizabeth Perkins,11,1
Elizabeth Reaser,40,22
Ella Cruz,457,0
Ella Purnell,41,7
Elle Fanning,16,16
Ellen Barkin,458,0
Ellen Burstyn,0,27
Ellen Hollman,16,1
Ellen Travolta,10,5
Elli Rhiannon Müller Osborne,459,0
Ellie Haddington,8,1
Ellie Harvie,15,13
Ellie Kemper,11,32
Ellie Kendrick,460,0
Elliot Page,4,4
Elliott Gould,0,19
Elodie Frenck,461,0
Elodie Yung,40,1
Elon Musk,7,4
Elpidia Carrillo,11,1
Elsa Pataky,14,26
Elsa Zylberstein,41,8
Elsie Fisher,11,9
Elvis Tsui Kam-Kong,5,3
Elyas M'Barek,41,7
Elyes Gabel,4,2
Elçin Sangu,462,0
Embeth Davidtz,48,8
Emi Shinohara,33,1
Emi Takei,42,7
Emil von Schönfels,463,0
Emile Hirsch,11,7
Emilia Clarke,48,13
Emilia Fox,464,0
Emilie Ullerup,15,11
Emilio Estevez,10,2
Emilio Rivera,18,8
Emilio Sakraya,41,3
Emily Alyn Lind,8,2
Emily Beecham,7,1
Emily Blunt,7,22
Emily Browning,0,1
Emily Cox,465,0
Emily Deschanel,466,0
Emily Hampshire,11,15
Emily Kinney,467,0
Emily Mortimer,0,6
Emily Osment,10,6
Emily Procter,468,0
Emily Rios,469,0
Emily Rudd,22,7
Emily Swallow,470,0
Emily Tennant,15,5
Emily Tosta,471,0
Emily VanCamp,7,28
Emily Watson,16,21
Emily Wickersham,472,0
Eminem,11,7
Emiri Kato,33,28
Emma Bell,10,2
Emma Booth,4,1
Emma D'Arcy,473,0
Emma Dumont,11,3
Emma Hamilton,16,1
Emma Kenney,474,0
Emma Mackey,475,0
Emma Myers,476,0
Emma Roberts,11,9
Emma Stone,48,55
Emma Thomas,4,14
Emma Thompson,16,54
Emma Watson,16,31
Emmanuelle Béart,0,1
Emmanuelle Chriqui,11,3
Emmanuelle Seigner,0,4
Emmanuelle Vaugier,15,2
Emmy Rossum,477,0
Emory Cohen,0,3
Emre Bey,478,0
Emun Elliott,4,12
Engin Akyürek,479,0
Enrique Arce,480,0
Enrique Murciano,481,0
Erdal Yildiz,41,3
Eric Allan Kramer,482,0
Eric André,11,11
Eric Balfour,483,0
Eric Bana,0,5
Eric Bauza,10,50
Eric Bogosian,484,0
Eric Braeden,485,0
Eric Brown,486,0
Eric Dane,487,0
Eric Lange,0,1
Eric Mabius,15,4
Eric McCormack,11,1
Eric Roberts,18,69
Eric Schweig,15,1
Eric Stoltz,0,8
Eric Tsang,5,20
Eric Winter,488,0
Erica Cerra,15,2
Erica Durance,15,1
Erica Luttrell,10,12
Erik Per Sullivan,489,0
Erik von Detten,490,0
Erika Alexander,18,1
Erika Christensen,491,0
Erika Eleniak,492,0
Erin Cummings,0,2
Erin Dilly,493,0
Erin Moriarty,11,3
Ernest Borgnine,494,0
Ernie Hudson,11,28
Esai Morales,48,5
Esha Deol,495,0
Esra Bilgiç,496,0
Esra Dermancıoğlu,497,0
Essence Atkins,11,3
Estella Warren,498,0
Ester Expósito,499,0
Esther Garrel,41,1
Ethan Cutkosky,500,0
Ethan Embry,0,1
Ethan Hawke,0,29
Ethan Peck,501,0
Eugene Levy,11,11
Eva Birthistle,502,0
Eva De Dominici,503,0
Eva Green,41,17
Eva Habermann,504,0
Eva LaRue,18,1
Eva Longoria,11,9
Eva Marie Saint,505,0
Eva Martín,506,0
Eva Mendes,7,5
Evan Peters,4,23
Evan Rachel Wood,0,8
Evangeline Lilly,7,44
Evanna Lynch,16,26
Eve Best,0,2
Eve Harlow,507,0
Eve Myles,40,3
Evelyne Brochu,508,0
Ever Carradine,509,0
Everett McGill,510,0
Evgeniya Gromova,511,0
Ewan McGregor,16,47
Ewen Bremner,16,11
Ezra Miller,14,37
F. Murray Abraham,0,22
Fahadh Faasil,3,3
Fahriye Evcen,512,0
Fairouz Ai,33,7
Fairuza Balk,18,1
Fala Chen,5,3
Famke Janssen,0,13
Fan Bingbing,5,10
Fanny Ardant,0,1
Farah Zeynep Abdullah,513,0
Fay Masterson,37,9
Faye Dunaway,0,2
Faye Marsay,514,0
Felicia Day,515,0
Felicity Jones,16,23
Felicity Montagu,11,1
Felisha Terrell,516,0
Felix Mallard,517,0
Fidel Castro,0,3
Finn Cole,7,2
Finn Wolfhard,4,19
Finneas O'Connell,11,5
Fiona Dourif,40,4
Fiona Gubelmann,518,0
Fiona O'Shaughnessy,519,0
Fiona Rene,520,0
Fiona Shaw,16,9
Fionnula Flanagan,16,1
Fisher Stevens,0,24
Flex Alexander,521,0
Florence Pugh,7,15
Florian David Fitz,41,5
Florin Piersic Jr.,15,1
Forest Whitaker,7,38
Fran Drescher,11,17
Frances Barber,0,3
Frances Conroy,10,7
Frances Fisher,0,12
Frances McDormand,0,15
Frances O'Connor,0,2
Francesca Annis,522,0
Francesca Neri,523,0
Francesco Quinn,524,0
Francie Swift,525,0
Francis Ford Coppola,0,45
Francis Lawrence,8,11
Francis Magee,14,19
Franco Nero,0,6
Frank Collison,526,0
Frank Darabont,18,7
Frank Grillo,7,50
Frank John Hughes,11,1
Frank Oz,16,19
Frank Welker,10,83
Frank Whaley,0,1
Frankie Muniz,527,0
François Arnaud,528,0
François Berléand,41,7
François Civil,41,11
François Cluzet,41,2
François Damiens,41,8
François Levantal,529,0
François Ozon,530,0
Françoise Yip,15,2
Fred Armisen,11,90
Fred Olen Ray,18,3
Fred Tatasciore,10,129
Fred Ward,531,0
Freddie Fox,41,3
Freddie Highmore,532,0
Freddie Stroma,16,23
Frederick Lau,41,8
Fredro Starr,533,0
Freida Pinto,0,10
Freya Allan,14,4
Freya Mavor,534,0
Frédéric Diefenthal,535,0
Fumi Nikaido,42,8
Fumino Kimura,42,3
Funda Eryiğit,536,0
G.W. Bailey,537,0
Gabriel Byrne,41,2
Gabriel Guevara,538,0
Gabriel Jarret,539,0
Gabriel Luna,540,0
Gabriel Macht,541,0
Gabrielle Anwar,542,0
Gabrielle Union,8,16
Gaby Hoffmann,0,2
Gad Elmaleh,41,2
Gael García Bernal,7,1
Gaia Weiss,543,0
Gail O'Grady,544,0
Gaite Jansen,545,0
Gakuto Kajiwara,546,0
Gal Gadot,14,52
Galadriel Stineman,547,0
Garret Dillahunt,41,10
Garrett Hedlund,40,12
Gary Busey,18,4
Gary Carlos Cervantes,548,0
Gary Cole,10,25
Gary Dourdan,8,2
Gary Lewis,4,5
Gary Oldman,4,69
Gary Ross,8,1
Gary Scott Thompson,549,0
Gary Sinise,550,0
Gaspard Ulliel,41,5
Gaten Matarazzo,551,0
Gavin Casalegno,40,8
Gedde Watanabe,11,1
Geena Davis,4,3
Gemma Arterton,16,19
Gemma Atkinson,552,0
Gemma Chan,11,18
Gemma Jones,16,7
Gemma Whelan,7,1
Gen Hoshino,42,1
Gena Rowlands,553,0
Gene Hackman,0,4
Genevieve O'Reilly,7,7
Geoffrey Lewis,554,0
Geoffrey Rush,0,20
George A. Romero,18,6
George Blagden,555,0
George Clooney,0,33
George Hamilton,556,0
George Kennedy,557,0
George Lopez,11,49
George Lucas,0,39
George MacKay,16,3
George Miller,0,1
George Wyner,558,0
Georgia Hirst,559,0
Georgie Glen,16,6
Georgie Henley,560,0
Georgina Campbell,561,0
Georgina Haig,562,0
Georgina Hale,563,0
Georgina Reilly,4,2
Gerald McRaney,15,2
Geraldine Chaplin,7,9
Geraldine Hakewill,564,0
Geraldine James,16,14
Geraldine Viswanathan,565,0
Gerard Butler,11,20
Geum Sae-rok,168,2
Gia Crovatin,566,0
Giancarlo Esposito,14,14
Gideon Adlon,18,3
Gigi Hadid,16,5
Gil Bellows,15,6
Gil Birmingham,40,15
Gil Ofarim,567,0
Gillian Anderson,8,4
Gillian Jacobs,22,21
Gina Gershon,18,11
Gina Holden,568,0
Gina McKee,569,0
Gina Rodriguez,11,9
Gina Torres,570,0
Ginnifer Goodwin,10,12
Gino Anthony Pesi,571,0
Giorgia Whigham,572,0
Giovanna Antonelli,573,0
Giovanni Ribisi,10,20
Giulio Berruti,574,1
Glen Powell,0,16
Glenn Close,0,21
Glenn Morshower,10,9
Glenn Plummer,575,0
Glori-Anne Gilbert,576,1
Gloria Guida,577,0
Gloria Reuben,4,6
Go Ara,578,0
Go Bo-gyeol,579,0
Go Joon-hee,168,2
Go Kyung-pyo,168,4
Golda Rosheuvel,580,0
Goldie Hawn,0,16
Golshifteh Farahani,4,7
Gong Hyo-jin,581,0
Gong Li,582,0
Gong Yoo,168,3
Goran D. Kleut,0,3
Goran Visnjic,14,3
Gordon Liu Chia-hui,5,2
Govinda,3,2
Grace Caroline Currey,8,9
Grace Park,583,0
Grace Van Dien,18,1
Grace Van Patten,584,0
Graham Beckel,0,1
Graham Greene,15,4
Graham Patrick Martin,585,0
Grant Bowler,18,1
Grant Gustin,586,0
Greg Bryk,4,4
Greg Evigan,587,0
Greg Kinnear,16,8
Greta Gerwig,7,15
Greta Lee,11,16
Greta Scacchi,588,0
Gretchen Corbett,589,0
Gretchen Mol,0,1
Grey DeLisle,10,101
Griffin Dunne,18,6
Griffin Gluck,22,4
Gugu Mbatha-Raw,4,7
Guillaume Canet,41,10
Guillermo del Toro,0,13
Gupse Özay,590,0
Gustaf Skarsgård,7,3
Guy Pearce,4,15
Guy Ritchie,0,2
Guz Khan,16,2
Gwendoline Christie,16,30
Gwyneth Paltrow,7,40
Géraldine Pailhas,7,1
Gérard Darmon,41,5
Gérard Depardieu,41,13
Gökçe Eyüboğlu,591,0
Götz Otto,41,1
Gülçin Santırcıoğlu,592,0
Ha Jun,168,2
Ha Seok-jin,593,0
Ha Yoon-kyung,594,0
Hadley Robinson,595,0
Hailee Steinfeld,11,36
Haley Bennett,4,2
Haley Joel Osment,11,6
Haley Lu Richardson,4,5
Halle Berry,0,14
Hallie Todd,596,0
Han Ga-in,597,0
Han Hyo-joo,168,5
Han Ji-min,168,2
Han Seo-ah,32,2
Han Seol-hwa,598,0
Hana Mae Lee,11,8
Hande Ataizi,599,0
Hande Erçel,600,0
Hank Azaria,10,16
Hanna Schygulla,7,1
Hannah Cheramy,601,0
Hannah John-Kamen,16,3
Hannah Murray,41,2
Hannah Waddingham,4,3
Hans Sigl,602,0
Hans Zimmer,4,6
Harold Perrineau,22,3
Harold Ramis,11,9
Harris Dickinson,603,0
Harris Yulin,11,1
Harrison Ford,0,95
Harry Dean Stanton,8,2
Harry Hamlin,15,1
Harry Melling,16,7
Harry Shum Jr.,18,17
Harry Styles,11,3
Haruka Ayase,42,4
Haruka Fukuhara,33,11
Haruka Tomatsu,33,55
Harvey Keitel,0,19
Hassie Harrison,604,0
Hatice Aslan,605,0
Havana Rose Liu,606,0
Hayal Köseoğlu,607,0
Hayao Miyazaki,608,0
Hayden Christensen,16,7
Hayden Panettiere,8,9
Hayley Atwell,7,57
Hayley Mills,609,0
Hazal Kaya,610,0
Heather Graham,0,8
Heather Langenkamp,18,8
Heather Locklear,611,0
Heather Matarazzo,8,5
Heather Morris,18,3
Heaven Peralejo,612,0
Hector Elizondo,4,11
Hee-jeong,613,0
Heiner Lauterbach,41,7
Helen Hunt,614,0
Helen McCrory,16,40
Helen Mirren,14,75
Helen Slater,10,7
Helena Bonham Carter,16,66
Helena Mattsson,8,1
Helene Joy,615,0
Helin Kandemir,616,0
Helmut Berger,429,1
Henry Cavill,14,33
Henry Ian Cusick,617,0
Henry Rollins,11,1
Henry Thomas,0,12
Heo Joon-ho,618,0
Hera Hilmar,16,2
Herbert Knaup,41,6
Hermione Corfield,16,2
Hermione Norris,619,0
Hero Fiennes Tiffin,22,8
Hiam Abbass,4,8
Hideaki Tezuka,33,9
Hidetaka Yoshioka,42,7
Hikaru Midorikawa,33,43
Hilarie Burton,620,0
Hilary Duff,11,3
Hilary Swank,0,6
Hiro Kanagawa,14,1
Hiro Shimono,33,50
Hiroki Touchi,33,51
Hiroki Yasumoto,33,53
Hiroshi Abe,42,7
Hiroshi Kamiya,33,86
Hiroyuki Sanada,7,17
Hochu Otsuka,33,42
Holland Taylor,10,5
Holliday Grainger,16,7
Holly Deveaux,621,0
Holly Hunter,0,38
Holly Marie Combs,622,0
Holly Valance,623,0
Holt McCallany,4,8
Hong Seo-jun,624,0
Horst-Günter Marx,625,0
Hou Minghao,626,0
Hrithik Roshan,3,4
Huang Xiaoming,5,10
Hubert Koundé,627,0
Hugh Bonneville,16,19
Hugh Dancy,4,1
Hugh Fraser,628,0
Hugh Grant,16,28
Hugh Jackman,4,47
Hugh Laurie,11,9
Hugo Weaving,0,30
Hunter Doohan,629,0
Hunter King,630,0
Hunter Schafer,631,0
Hutch Dano,18,1
Hwang Jung-eum,632,0
Hwang Jung-min,168,14
Hyun Bin,168,5
Hyun Bong-sik,168,19
IU,633,0
Iain Armitage,634,0
Iain Glen,0,3
Ian Anthony Dale,635,0
Ian Hart,16,2
Ian McDiarmid,16,20
Ian McKellen,0,35
Ian McNeice,636,0
Ian McShane,0,22
Ian Somerhalder,637,0
Ice Cube,11,24
Ice-T,11,15
Idina Menzel,11,20
Idris Elba,7,63
Ignacio Serricchio,638,0
Ike Barinholtz,11,29
Ike Eisenmann,10,1
Iko Uwais,5,1
Ikue Otani,33,56
Ilfenesh Hadera,7,1
Iliza Shlesinger,11,5
Illeana Douglas,18,19
Imanol Arias,142,1
Imelda Staunton,16,38
Imogen Poots,14,14
Imogen Stubbs,639,0
Inbar Lavi,640,0
India Eisley,4,2
India de Beaufort,641,0
Indiana Evans,642,0
Indira Varma,4,3
Indya Moore,11,1
Ingeborga Dapkūnaitė,643,0
Inger Nilsson,644,0
Ingrid Bolsø Berdal,14,2
Ingrid Steeger,645,0
Inka Kallén,646,0
Innocent,3,3
Inori Minase,33,35
Inuko Inuyama,33,17
Ioan Gruffudd,16,7
Ione Skye,22,1
Iqbal Theba,10,2
Ireine Song,647,0
Irene Tsu,648,0
Irrfan Khan,3,5
Irvin Kershner,649,0
Irène Jacob,650,0
Isaac Hempstead-Wright,48,16
Isabel May,651,0
Isabela Merced,22,9
Isabella Laughland,16,24
Isabella Rossellini,0,16
Isabelle Adjani,41,4
Isabelle Fuhrman,8,17
Isabelle Nanty,41,9
Isla Fisher,16,5
Ismael Cruz Cordova,11,2
Italia Ricci,652,0
Itziar Ituño,653,0
Ivan Reitman,11,7
Ivana Miličević,654,0
Iwan Rheon,16,3
Izabella Scorupco,655,0
J. D. Pardo,656,0
J.C. MacKenzie,0,8
J.D. Evermore,10,15
J.D. Williams,657,0
J.J. Abrams,16,30
J.K. Simmons,14,85
J.P. Manoux,658,0
JR Bourne,659,0
Jace Norman,22,8
Jacinda Barrett,660,0
Jack Black,11,64
Jack Champion,0,8
Jack De Sena,661,0
Jack Deam,662,0
Jack Donnelly,11,1
Jack Dylan Grazer,4,19
Jack Fisher,663,0
Jack Gleeson,664,0
Jack Griffo,22,8
Jack Kehler,11,5
Jack McBrayer,11,42
Jack Nicholson,0,33
Jack O'Connell,16,6
Jack Quaid,8,32
Jack Wagner,15,1
Jack Whitehall,11,2
Jackie Chan,11,26
Jackie Earle Haley,4,10
Jackie Li,665,0
Jackie Sandler,11,32
Jackson Rathbone,40,22
Jackson Robert Scott,4,6
Jacky Cheung,5,4
Jacky Lai,666,0
Jacob Elordi,4,6
Jacob Fortune-Lloyd,41,8
Jacob Lofland,14,11
Jacob Tremblay,15,8
Jacqueline Bisset,667,0
Jacqueline Byers,668,0
Jacqueline Obradors,669,0
Jada Pinkett Smith,11,12
Jade Pettyjohn,22,8
Jadyn Wong,670,0
Jaeden Martell,4,15
Jai Courtney,4,16
Jaime Camil,11,8
Jaime King,0,8
Jaime Lorente,671,0
Jaime Murray,16,3
Jaime Pressly,672,0
Jaime Ray Newman,673,0
Jaime Winstone,16,1
Jaimie Alexander,7,13
Jaina Lee Ortiz,674,0
Jake Busey,18,10
Jake Gyllenhaal,7,25
Jake Johnson,11,37
Jake Lacy,675,0
Jake Manley,15,2
Jake McLaughlin,676,0
Jake T. Austin,11,14
Jaleel White,10,3
Jamel Debbouze,41,3
James Avery,677,0
James Badge Dale,10,10
James Bolam,678,0
James Brolin,11,3
James Caan,0,29
James Cameron,0,18
James Cosmo,16,10
James Cromwell,41,10
James D'Arcy,7,10
James Denton,18,2
James Duval,18,7
James Earl Jones,16,12
James Faulkner,4,2
James Franco,11,96
James Gandolfini,4,6
James Garner,10,4
James Gunn,7,20
James Hong,11,18
James Horner,0,1
James Le Gros,4,1
James Marsden,11,27
James McAvoy,4,59
James Norton,14,4
James Pickens Jr.,679,0
James Purefoy,16,3
James Rebhorn,680,0
James Remar,0,15
James Roday Rodriguez,18,12
James Russo,18,10
James Spader,0,5
James Tolkan,0,7
James Wan,681,0
James Woods,11,4
Jami Gertz,682,0
Jamie Bell,14,6
Jamie Campbell Bower,40,22
Jamie Chung,11,12
Jamie Dornan,37,11
Jamie Farr,683,0
Jamie Flatters,0,8
Jamie Foxx,11,79
Jamie Kennedy,8,11
Jamie Lee Curtis,22,9
Jamie Lee O'Donnell,684,0
Jamie McShane,7,10
Jamie-Lynn Sigler,4,3
Jamilla Obispo,685,0
Janaki Sabesh,3,2
Jane Adams,0,1
Jane Asher,686,0
Jane Badler,687,0
Jane Birkin,41,4
Jane Fonda,0,44
Jane Levy,0,1
Jane Lynch,11,28
Jane March,688,0
Jane Seymour,22,5
Janel Parrish,18,3
Janet Jones,11,2
Janet Montgomery,689,0
Jang Dong-gun,168,1
Jang Dong-yoon,690,0
Jang Hyuk,168,2
Jang Ki-yong,691,0
Jang Young-nam,168,14
Janice Wu,692,0
Janina Gavankar,8,1
Janine Duvitski,693,0
Janine Turner,694,0
Janis Paige,695,0
Jannis Niewöhner,41,6
January Jones,4,2
Jared Harris,696,0
Jared Hess,697,0
Jared Keeso,698,0
Jared Leto,14,12
Jared Padalecki,699,0
Jasmine Trinca,41,3
Jason Alexander,11,16
Jason Bateman,11,31
Jason Beghe,18,3
Jason Biggs,14,8
Jason Butler Harner,11,1
Jason Clarke,4,19
Jason Dolley,700,0
Jason Flemyng,4,21
Jason Gedrick,701,0
Jason Gray-Stanford,702,0
Jason Isaacs,16,47
Jason Lee,11,7
Jason Mantzoukas,11,27
Jason Momoa,14,38
Jason Patric,22,3
Jason Ritter,11,15
Jason Schwartzman,0,66
Jason Segel,11,20
Jason Statham,14,49
Jason Sudeikis,11,61
Jason Watkins,703,0
Jasper Pääkkönen,16,1
Javier Bardem,16,30
Javon Walton,704,0
Jay Baruchel,11,25
Jay Chou,5,1
Jay Harrington,18,1
Jay Mohr,7,1
Jay R. Ferguson,705,0
Jayden Revri,706,0
Jayne Atkinson,707,0
Jayne Eastwood,18,7
Jayne Heitmeyer,708,0
Jaz Sinclair,709,0
Jean Dujardin,41,20
Jean Reno,11,8
Jean Simmons,710,0
Jean Smart,11,4
Jean-Claude Van Damme,0,23
Jean-Luc Bilodeau,711,0
Jean-Luc Godard,0,3
Jean-Paul Belmondo,41,6
Jeanne Goursaud,41,2
Jeanne Moreau,0,5
Jeanne Tripplehorn,10,2
Jeannie Epper,712,0
Jed Rees,10,1
Jedidiah Goodacre,15,8
Jeff Bennett,10,54
Jeff Bridges,0,32
Jeff Daniels,11,4
Jeff Fahey,18,20
Jeff Goldblum,0,57
Jeffrey Combs,18,17
Jeffrey Dean Morgan,7,10
Jeffrey Donovan,7,4
Jeffrey Tambor,11,23
Jeffrey Wright,8,61
Jelena Gavrilović,713,0
Jella Haase,41,6
Jemaine Clement,11,19
Jemma Redgrave,16,5
Jena Malone,8,23
Jenette Goldstein,18,1
Jenifer Lewis,0,20
Jenna Coleman,16,12
Jenna Dewan,714,0
Jenna Elfman,4,1
Jenna Fischer,0,1
Jenna Ortega,8,8
Jennette McCurdy,715,1
Jennie Jacques,716,0
Jennie Kim,717,1
Jennie Silfverhjelm,48,3
Jennifer Aniston,11,34
Jennifer Beals,10,1
Jennifer Carpenter,10,7
Jennifer Connelly,48,8
Jennifer Coolidge,10,11
Jennifer Ehle,37,20
Jennifer Esposito,718,0
Jennifer Garner,4,13
Jennifer Grey,719,0
Jennifer Jason Leigh,0,13
Jennifer Landon,720,0
Jennifer Lawrence,8,46
Jennifer Lee,11,4
Jennifer Lopez,48,27
Jennifer Love Hewitt,4,5
Jennifer Lyons,721,0
Jennifer Morrison,7,10
Jennifer O'Dell,722,0
Jennifer Saunders,16,17
Jennifer Tilly,40,5
Jenny Agutter,7,5
Jenny O'Hara,11,1
Jenny Robertson,10,1
Jenny Slate,11,33
Jensen Ackles,18,22
Jeon Bae-soo,168,16
Jeon Do-yeon,168,6
Jeon Mi-seon,723,0
Jeon No-min,168,1
Jeong Da-eun,724,0
Jeong Jun-ho,168,1
Jeong So-min,168,3
Jeppe Beck Laursen,14,4
Jere Burns,725,0
Jeremy Allen White,4,1
Jeremy Clarkson,726,0
Jeremy Davies,727,0
Jeremy Irons,14,28
Jeremy Northam,16,1
Jeremy Piven,11,7
Jeremy Ratchford,4,2
Jeremy Renner,7,66
Jeremy Sisto,10,2
Jeremy Strong,4,19
Jeri Ryan,10,5
Jerry O'Connell,10,22
Jerry Seinfeld,11,27
Jerry Trainor,715,1
Jerry Zucker,728,0
Jess McLeod,18,1
Jess Salgueiro,15,1
Jessalyn Gilsig,729,0
Jesse Eisenberg,14,45
Jesse Hutch,15,6
Jesse Metcalfe,15,9
Jesse Plemons,0,28
Jesse Spencer,730,0
Jesse Williams,731,0
Jessica Alba,11,28
Jessica Amlee,732,0
Jessica Biel,4,7
Jessica Brown Findlay,16,6
Jessica Chastain,4,54
Jessica De Gouw,733,0
Jessica Gunning,16,1
Jessica Harmon,15,1
Jessica Hecht,0,2
Jessica Henwick,16,3
Jessica Hynes,16,4
Jessica Lange,734,0
Jessica Lowndes,0,3
Jessica Morris,18,3
Jessica Parker Kennedy,735,0
Jessica Rothe,18,2
