name
Kaixiang Kang
Francisco Olivos
Michelangelo Rossi
Leonardo Castro-Gonzalez
K. Hunter Wapman
Hillel Rapoport
Paolo Bajardi
Ashton Anderson
Lejla Dzanko
Trevor James Swanson
Kristian Peter Lorenzen
Yang Wang
Timothy Douglas
Dingeman Jan Van der Laan
Sacha Epskamp
Joanna Bryson
Stefan Wuchty
Kristoffer Lind Glavind
Neville Stanton
Ibrahim Farouq
Isabelle Langrock
Katharina Burgdorf
Jana Lasser
Tzu-Chi Yen
Miquel Montero
Ophelia Deroy
Francisco Barreras
Renaud Lambiotte
Silke Adam
Victor Galaz
Tiancheng Hu
Xiaowen Dong
Allison Christine Morgan
Abdulkadir Celikkanat
Nicola Pedreschi
Elohim Fonseca dos Reis
Zoe Rahwan
David Garcia
Janet B. Pierrehumbert
Mykola Makhortykh
Bradley Spahn
Ilona Horwath
Laura Alessandretti
Anjali Bhatt
David M Rothschild
Kat Albrecht
Sarvenaz Ebrahimi
Anna George
Massimo Stella
Daniel A. McFarland
Sebastian Mildiner Moraga
Manuel Tonneau
Scott A Hale
Jeff T Sheng
Rodrigo Troncoso
Sanne Smith
Zilin Lin
Xubo Cao
János Kertész
Felix Lennert
Mathieu Génois
Mikihito Tanaka
Xiang Ren
Max Lagencamp
Levin Brinkmann
Isabel Sebire
Zhen Xu
Hammaad Adam
Amir Ebrahimi Fard
Ezequiel Lopez Lopez
Pantelis P Analytis
Kristian Tylén
Maren Schuster
Rebecca Adler-Nissen
Alex Teytelboym
Isabel Lerch
Daniel Nagin
Ashley Muddiman
Samin Aref
Tara Sowrirajan
Leon Fröhling
Christiern Santos Rasmussen
Felix Schmidt
Damin Lee
Erin Walk
Tian Yang
Narayani Vedam
Milena Tsvetkova
Franziska Keller
Jeremiah Onaolapo
Federico Delussu
Alfredo Hernandez Sanchez
Edit Paulo
Damian Serwata
Anna Sapienza
Shreya Havaldar
Anne C Kroon
Tiziano Piccardi
Enshu Cheng
Stephan Lewandowsky
Diogo Pachecho
Vincent Pons
Bedoor Alshebli
Xiaoran Yan
Haoning Xue
Michael Matzenberger
Joshua Garland
Federico Barrera-Lemarchand
Cornelius Puschmann
Briony Swire-Thompson
Abby Smith
Jianxun Chu
Ella Clement
Chris Callison-Burch
Richard Bruggeman
Ivano Bison
Andrea Failla
Ana María Jaramillo
Laurent Hebert-Dufresne
Kazutoshi Sasahara
Douglas Leasure
Clemens Stachl
Karim Hamade
Homa Hosseinmardi
Andrew Renninger
Sonia Yeh
Ralph Schroeder
Alejandro Hermida Carrillo
Gaël Le Mens
Johanna Einsiedler
Enrico Cantoni
Anne-Marie Nussberger
Kristina Aleksandrovna Pedersen
Mohammed Alsobay
Katinka Den Nijs
Nuria Caceres
Eddie Rossi
Vincenzo Nicosia
Robb Willer
Shoko Wakamiya
Jean-Philippe Cointet
James Calum Young
Dylan Paltra
Michele Tizzani
Ebru Sanliturk
Sunny Rai
Patrice Wangen
Sandipan Sikdar
Leonardo Rosado
Manuel Vimercati
Josep Perelló
Andy Skumanich
Vincent Buskens
Marc Sadurní Parera
Karim Lasri
Erez Yoeli
Miriam Redi
Kazuhiro Seki
Jon Roozenbeek
Hugo Contreras
Ivan Dotu
Clara Vandeweerdt
Mareike Wieland
Ana Valdivia
Christoph Kern
Francisco C Santos
Andrea Tagarelli
Jiao Sun
Lena Masch
Dimitris Kotzinos
Telmo Menezes
Ronald E. Robertson
Nandini Iyer
Scott Friedman
Kiyoshi Izumi
Philip Howard
Dorian Quelle
Srdja Dragovic
Ridhi Kashyap
Giulio Cimini
Victor Landaeta
Sourav Medya
Esteban Moro
Kunihiro Miyazaki
Mario Castro
Tom Grad
Radosław Michalski
Helena Sophia Rauxloh
Matt Rocklage
Ted Hsuan Yun Chen
Cristian E Candia
Lorenzo Lucchini
Lucio La Cava
Marijn ten Thij
Sara Venturini
Bertram Malle
Sonja Walter
Christoffer Koch Florczak
Christopher Danforth
Ryan Cotterell
Taylor Jones
Wentao Xu
Jihoon Kim
Julieta Ruiz
Jan-Philipp Rau
Nicholas J Pangakis
Lavinia Rossi Mori
Kevin Sparks
Adam Finnemann
Nour Kteily
Nicolò Alessandro Girardini
Jack LaViolette
Margarita Torre
Priyanshi Sharma
Olivier Togni
Indraneel Mane
Seoyoung Kweon
Joaquín Navajas
Natalie McDaniel Gallagher
Tornike Tsereteli
Orestis Papakyriakopoulos
Marlene Lutz
Leonardo Ferres
Kimitaka Asatani
Anna Di Natale
Shahar Somin
Kobi Hackenburg
Javier Borge Holthoefer
Jeroen Jonkman
Randall Harp
Marjolijn Das
Lu Sun
Gautam Thakur
Julia Hirschberg
Haaya Naushan
Baird Howland
Melvyn Tyloo
Kerry Wong
Sahil Chinoy
Serena Jimyn Soh
Talayeh Aledavood
Naoki Yoshinaga
Facundo Carrillo
Santo Fortunato
Feiyang Zhang
Dylan Connor
Blas Kolic
Cecilia Monge
Veronica Lachi
Sukankana Chakraborty
Sandra Gonzalez-Bailón
Edward Lee
Alex Mielke
Deb Roy
Roney Reis
Roland Toth
Przemyslaw Kazienko
Daniel Larremore
Masashi Toyoda
Vadim Voskresenskii
Louisa Jane Di Felice
Paulina Bondaronek
Bin Wang
Tenzin Tamang
Zhixuan Zhou
Anne C. Kroon
Riccardo Gallotti
Otto Kässi
Sanjay Kairam
Sydney DeMets
Nikolitsa Grigoropoulou
Koustuv Saha
Denny Borsboom
Eiji Aramaki
Meysam Alizadeh
David Dreyer Lassen
Becky P.Y. Loo
Xinwei Xu
Vincent Straub
Monica Bianchini
Paweł Jurek
Khalid K Osman
Tom Emery
Daniele Quercia
Emoke-Agnes Horvat
