Author,Community,Degree
https://openalex.org/A5037506201,103,107
https://openalex.org/A5086453253,10,62
https://openalex.org/A5071797963,4,32
https://openalex.org/A5008800832,109,14
https://openalex.org/A5038976962,2,86
https://openalex.org/A5000679279,18,63
https://openalex.org/A5082450455,14,102
https://openalex.org/A5064297795,16,62
https://openalex.org/A5017444948,12,56
https://openalex.org/A5038233956,41,39
https://openalex.org/A5047315859,1,63
https://openalex.org/A5051226686,16,5
https://openalex.org/A5068542997,29,114
https://openalex.org/A5040830236,56,31
https://openalex.org/A5057650206,39,64
https://openalex.org/A5086908160,12,24
https://openalex.org/A5066420511,62,5
https://openalex.org/A5031799782,30,71
https://openalex.org/A5060895838,71,19
https://openalex.org/A5091272738,18,54
https://openalex.org/A5014587310,18,5
https://openalex.org/A5033887103,0,6
https://openalex.org/A5043228682,31,38
https://openalex.org/A5013727792,16,25
https://openalex.org/A5053947754,62,22
https://openalex.org/A5076259865,31,15
https://openalex.org/A5009663125,0,9
https://openalex.org/A5054159576,0,6
https://openalex.org/A5044061507,18,13
https://openalex.org/A5014088619,0,10
https://openalex.org/A5071473719,62,16
https://openalex.org/A5024664329,62,15
https://openalex.org/A5064748489,18,9
https://openalex.org/A5005702955,62,12
https://openalex.org/A5029663653,62,12
https://openalex.org/A5013844034,16,18
https://openalex.org/A5087005512,18,8
https://openalex.org/A5032035644,18,10
https://openalex.org/A5002330321,0,18
https://openalex.org/A5067118505,16,85
https://openalex.org/A5027079032,25,9
https://openalex.org/A5018292103,10,23
https://openalex.org/A5021605006,18,6
https://openalex.org/A5027171279,16,54
https://openalex.org/A5024810938,18,6
https://openalex.org/A5089685693,16,16
https://openalex.org/A5052308997,16,6
https://openalex.org/A5067748867,16,8
https://openalex.org/A5053549488,72,1
https://openalex.org/A5082391569,16,24
https://openalex.org/A5030305033,16,43
https://openalex.org/A5049064405,18,3
https://openalex.org/A5037695214,24,17
https://openalex.org/A5022967411,24,24
https://openalex.org/A5069893226,10,9
https://openalex.org/A5087111784,10,5
https://openalex.org/A5030805884,0,4
https://openalex.org/A5028869415,24,18
https://openalex.org/A5034721063,37,33
https://openalex.org/A5040821848,17,10
https://openalex.org/A5065059558,16,9
https://openalex.org/A5017992738,37,15
https://openalex.org/A5007138994,16,21
https://openalex.org/A5069257022,72,26
https://openalex.org/A5057136388,16,10
https://openalex.org/A5049079205,16,9
https://openalex.org/A5066014869,10,8
https://openalex.org/A5047724274,16,8
https://openalex.org/A5071769816,2,11
https://openalex.org/A5007465102,16,5
https://openalex.org/A5013670125,45,46
https://openalex.org/A5073916921,16,6
https://openalex.org/A5025497120,37,8
https://openalex.org/A5073517348,1,8
https://openalex.org/A5087751292,37,50
https://openalex.org/A5088448789,40,23
https://openalex.org/A5017222566,17,22
https://openalex.org/A5047982506,16,6
https://openalex.org/A5057744216,72,4
https://openalex.org/A5066824370,37,11
https://openalex.org/A5019996096,16,17
https://openalex.org/A5004774200,0,8
https://openalex.org/A5067567133,0,8
https://openalex.org/A5016057473,0,13
https://openalex.org/A5041732716,18,11
https://openalex.org/A5052099873,0,12
https://openalex.org/A5057803453,0,15
https://openalex.org/A5016292975,1,2
https://openalex.org/A5038488889,0,10
https://openalex.org/A5090030525,37,21
https://openalex.org/A5073459923,3,24
https://openalex.org/A5084279765,45,18
https://openalex.org/A5004136982,1,3
https://openalex.org/A5032991538,10,13
https://openalex.org/A5017976036,1,4
https://openalex.org/A5050794507,10,5
https://openalex.org/A5072046918,1,21
https://openalex.org/A5012965551,16,28
https://openalex.org/A5011229206,16,13
https://openalex.org/A5033671063,16,10
https://openalex.org/A5042498941,2,2
https://openalex.org/A5077163579,0,22
https://openalex.org/A5089971631,16,9
https://openalex.org/A5026163142,33,6
https://openalex.org/A5024491455,10,6
https://openalex.org/A5061496529,62,6
https://openalex.org/A5000465689,10,6
https://openalex.org/A5017069683,37,15
https://openalex.org/A5032538899,1,14
https://openalex.org/A5040448723,28,40
https://openalex.org/A5051330675,2,4
https://openalex.org/A5048165961,1,13
https://openalex.org/A5035441361,16,13
https://openalex.org/A5033036404,37,10
https://openalex.org/A5086073834,55,30
https://openalex.org/A5062879885,62,8
https://openalex.org/A5051374361,16,6
https://openalex.org/A5083205192,37,27
https://openalex.org/A5000683102,0,7
https://openalex.org/A5004868515,28,39
https://openalex.org/A5059441112,16,8
https://openalex.org/A5078789709,33,5
https://openalex.org/A5042122864,33,6
